conversation_id,model,coherence,depth,progress,naturalness,empathy,mi_alignment,comment
session_35,gemma:7b,4,4,2,4,4,3,
session_62,gemma:7b,3,4,4,3,4,5,
session_111,gemma:7b,3,3,3,4,4,4,
session_116,gemma:7b,3,2,2,3,4,4,
session_207,gemma:7b,4,3,3,3,4,3,
session_285,gemma:7b,3,2,2,3,3,3,
session_325,gemma:7b,3,3,2,3,3,4,All conversations are in the same pattern.
session_420,gemma:7b,3,3,3,4,3,4,
session_473,gemma:7b,3,3,3,4,5,4,
session_539,gemma:7b,4,3,3,4,4,4,
session_594,gemma:7b,3,3,2,3,4,4,
session_653,gemma:7b,4,4,3,4,4,4,
session_698,gemma:7b,4,3,3,4,4,4,
session_735,gemma:7b,4,4,3,2,4,4,
session_769,gemma:7b,4,4,3,4,4,4,
session_837,gemma:7b,4,3,2,4,4,4,
session_854,gemma:7b,5,3,2,4,4,4,
session_880,gemma:7b,4,3,2,4,4,4,
session_928,gemma:7b,4,3,2,4,4,3,
session_982,gemma:7b,4,3,3,4,3,3,
session_35,llama3.1,3,5,5,4,4,4,
session_62,llama3.1,4,3,4,4,4,4,
session_111,llama3.1,3,3,3,3,4,4,
session_116,llama3.1,3,4,3,4,4,4,
session_207,llama3.1,2,5,5,3,4,3,
session_285,llama3.1,2,4,3,4,5,3,
session_325,llama3.1,2,4,5,4,3,4,
session_420,llama3.1,2,3,3,4,4,4,
session_473,llama3.1,2,3,3,4,3,4,
session_539,llama3.1,2,3,3,4,4,4,
session_594,llama3.1,4,4,5,4,4,5,
session_653,llama3.1,4,4,5,4,4,4,
session_698,llama3.1,3,2,3,3,3,3,
session_735,llama3.1,3,4,5,4,4,2,
session_769,llama3.1,4,4,5,4,4,3,
session_837,llama3.1,5,4,5,4,4,3,
session_854,llama3.1,2,3,3,4,4,4,
session_880,llama3.1,4,4,5,4,4,4,
session_928,llama3.1,2,3,3,4,4,3,
session_982,llama3.1,5,3,4,4,4,3,
session_35,openchat:7b,2,3,4,2,4,3,
session_62,openchat:7b,2,3,4,2,4,3,
session_111,openchat:7b,2,3,4,2,3,3,
session_116,openchat:7b,1,3,4,2,4,3,
session_207,openchat:7b,4,3,3,2,4,2,
session_285,openchat:7b,4,5,4,5,5,5,
session_325,openchat:7b,3,4,4,4,4,5,
session_420,openchat:7b,3,5,5,3,4,5,
session_473,openchat:7b,5,5,4,4,5,4,
session_539,openchat:7b,3,5,4,4,4,4,
session_594,openchat:7b,4,5,4,4,4,4,
session_653,openchat:7b,3,3,2,3,4,2,
session_698,openchat:7b,3,2,2,3,4,2,
session_735,openchat:7b,4,3,2,3,4,2,
session_769,openchat:7b,2,3,2,3,4,3,
session_837,openchat:7b,2,3,3,3,4,3,
session_854,openchat:7b,3,4,3,3,4,3,
session_880,openchat:7b,4,4,4,4,5,4,
session_928,openchat:7b,3,3,3,3,4,3,
session_982,openchat:7b,5,4,4,4,5,4,
session_35,phi4:14b,3,4,5,3,4,5,
session_62,phi4:14b,3,4,5,3,3,4,
session_111,phi4:14b,4,4,3,3,4,4,
session_116,phi4:14b,4,4,4,4,5,4,
session_207,phi4:14b,4,4,3,3,4,4,
session_285,phi4:14b,4,4,5,3,4,5,
session_325,phi4:14b,4,3,3,4,4,4,
session_420,phi4:14b,4,4,5,4,5,4,
session_473,phi4:14b,4,4,3,4,4,4,
session_539,phi4:14b,4,4,5,4,5,5,
session_594,phi4:14b,2,3,3,3,5,4,
session_653,phi4:14b,4,4,3,4,4,4,
session_698,phi4:14b,5,4,5,4,5,5,
session_735,phi4:14b,4,4,4,4,4,4,
session_769,phi4:14b,5,5,4,5,4,4,
session_837,phi4:14b,3,3,3,3,4,4,
session_854,phi4:14b,3,4,4,3,4,4,
session_880,phi4:14b,3,4,4,4,3,3,
session_928,phi4:14b,4,4,5,4,5,4,
session_982,phi4:14b,5,4,4,4,4,4,
session_35,qwen2.5:7b,2,3,1,2,3,4,
session_62,qwen2.5:7b,4,3,4,2,3,4,
session_111,qwen2.5:7b,4,3,4,2,3,4,
session_116,qwen2.5:7b,4,3,2,2,3,4,
session_207,qwen2.5:7b,4,3,3,3,4,4,
session_285,qwen2.5:7b,3,3,3,2,3,4,
session_325,qwen2.5:7b,4,3,2,2,3,3,
session_420,qwen2.5:7b,4,3,4,3,4,3,
session_473,qwen2.5:7b,4,3,3,3,3,4,
session_539,qwen2.5:7b,3,3,2,2,3,3,
session_594,qwen2.5:7b,3,3,2,3,2,4,
session_653,qwen2.5:7b,4,3,4,3,4,4,
session_698,qwen2.5:7b,3,3,3,2,3,3,
session_735,qwen2.5:7b,4,3,4,3,4,4,
session_769,qwen2.5:7b,3,3,3,3,3,4,
session_837,qwen2.5:7b,4,3,4,1,3,3,
session_854,qwen2.5:7b,4,3,4,1,3,4,
session_880,qwen2.5:7b,4,3,4,1,4,3,
session_928,qwen2.5:7b,4,3,4,3,3,3,
session_982,qwen2.5:7b,4,3,4,3,4,4,